Year,Reporting Facility,Submission ID,Facility Sub Type,Facility Sub Type Grouping,Operator,COMPRESSOR (m3),PNEUMATICINSTRUMENT (m3),PNEAMATICPUMP (m3),FUGITIVE (m3),ROUTINEVENT (m3)
2021,ABBT0115391,31494285,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,23800
2021,ABBT0160366,31504657,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,300
2021,ABBT0125993,31496437,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,5
2021,ABBT0132775,31498083,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1300
2021,ABBT0133086,31498149,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1000
2021,ABBT0108827,31493161,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1700
2021,ABBT0107118,31493031,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,27600
2021,ABBT0110705,31493397,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,6400
2021,ABBT0125966,31496423,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0111000,31493444,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,14200
2021,ABBT0111112,31493465,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0112215,31493655,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,34700
2021,ABBT0113800,31493974,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,42900
2021,ABBT0133809,31498309,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,19300
2021,ABBT0109398,31493214,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,400
2021,ABBT0114373,31494107,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,600
2021,ABBT0114810,31494195,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,49400
2021,ABBT0115517,31494313,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,3300
2021,ABBT0117630,31494696,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,100
2021,ABBT0108912,31493185,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,24500
2021,ABBT0109543,31493240,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2500
2021,ABBT0109457,31493224,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,200
2021,ABBT0119179,31494991,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,14
2021,ABBT0114730,31494165,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1900
2021,ABBT0122285,31495594,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,41400
2021,ABBT0122298,31495598,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,6100
2021,ABBT0122695,31495675,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,26400
2021,ABBT0117647,31494701,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,23500
2021,ABBT0117685,31494721,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,1200
2021,ABBT0113374,31493886,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,100
2021,ABBT0121574,31495432,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,2400
