X,Y,OBJECTID,FACILITY_ID,FACILITY_TYPE,FACILITY_TYPE_DESC,FACILITY_NAME,STATUS,MAXIMUM_H2S_PERCENT,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE
1226748.7778,1330561.1039,14298994,00026544,WF,Well Facility,CNRL TOWN A-092-F/094-B-16 001,Active,0,100103852,2017/10/16 11:49:34+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1264225.6079,1293659.5784,14298995,00026550,WF,Well Facility,YOHO INGA 11-24-087-24 001,Active,99,100103458,2017/10/16 09:11:29+00,,,Yoho Resources Inc.,OGAA,GPSD
1266302.0435,1324975.1576,14298996,00026533,WF,Well Facility,COP FIREWEED C-010-H/094-A-13 001,Active,2,100103687,2017/10/11 09:26:15+00,,,ConocoPhillips Canada Resources Corp.,OGAA,GPSD
1244440.7677,1390747.5726,14298997,00026492,WF,Well Facility,TOURMALINE LAPRISE CREEK B-034-L/094-H-05 001,Active,0.99000001,100103523,2017/10/06 08:34:42+00,,,Tourmaline Oil Corp.,OGAA,CGWC
1353853.8772,1244990.1726,14298998,00026552,WF,Well Facility,CANLIN PARKLAND 16-32-081-15 001,Active,0.69999999,100102896,2017/09/26 16:21:07+00,,,Canlin Energy Corporation,OGAA,GPSD
1336268.2818,1229583.0391,14298999,00026493,WF,Well Facility,OVV TOWER LAKE 03-21-080-17 002,Active,1500,100103030,2017/09/15 11:11:18+00,,,Ovintiv Canada ULC,OGAA,SNK
1359556.0844,1237579.2872,14299000,00026521,WF,Well Facility,VERMILION DOE 04-12-081-15 001,Active,0,100103615,2017/09/13 10:43:45+00,,,VERMILION ENERGY INC.,OGAA,CGWC
1268902.4973,1349285.5513,14299001,00026490,WF,Well Facility,CNRL NIG CREEK C-065-A/094-H-04 001,Active,2,100103477,2017/09/06 10:12:26+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1262747.4791,1341773.9898,14299002,00026504,WF,Well Facility,TECL BIRCH A-094-J/094-A-13 002,Active,3,100103392,2017/08/31 13:38:34+00,,,Todd Energy Canada Limited,OGAA,CGWC
1262775.9826,1341745.7579,14299003,00026508,B,Battery Site,TECL BIRCH A-094-J/094-A-13 002,Removed,3,100103392,2017/08/31 13:38:34+00,,,Todd Energy Canada Limited,OGAA,CGWC
1241846.0486,1312787.8412,14299004,00026484,B,Battery Site,TOURMALINE BLUEBERRY B-093-I/094-B-09 006,Permit Approved,0,100103399,2017/08/25 14:05:44+00,,,Tourmaline Oil Corp.,OGAA,SNK
1241846.0486,1312787.8412,14299005,00026485,WF,Well Facility,TOURMALINE BLUEBERRY B-093-I/094-B-09 005,Active,0,100103399,2017/08/25 14:05:44+00,,,Tourmaline Oil Corp.,OGAA,SNK
1326062.9444,1225184.6655,14299006,00026467,WF,Well Facility,SHELL SUNSET PRAIRIE 01-08-080-18 001,Active,0,100103327,2017/08/23 16:23:32+00,,,Shell Canada Limited,OGAA,SNK
1335122.2472,1239256.0767,14299007,00026395,B2,Processing Battery,ARCRES PARKLAND 05-21-081-17 001,Permit Approved,0,100102664,2017/08/10 11:17:38+00,,,ARC Resources Ltd.,OGAA,SNK
1332510.9666,1232298.7213,14299008,00026424,WF,Well Facility,OVV TOWER LAKE 04-31-080-17 001,Active,990,100103029,2017/07/25 09:29:30+00,,,Ovintiv Canada ULC,OGAA,SNK
1331475.9476,1322658.4532,14299009,00026460,WF,Well Facility,CNRL BEAVERTAIL c-035-A/094-A-15 001,Under Construction,2.29999995,100103242,2017/07/21 14:14:07+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1235478.2835,1319785.1196,14299010,00026431,WF,Well Facility,TOURMALINE GUNDY CREEK b-071-B/094-B-16 001,Permit Approved,0,100103048,2017/07/14 11:35:36+00,,,Tourmaline Oil Corp.,OGAA,SNK
1364916.4789,1229234.6848,14299011,00026232,WF,Well Facility,ARCRES DAWSON CREEK 09-08-080-14 001,Active,0.5,100100091,2016/08/18 11:53:18+00,,,ARC Resources Ltd.,OGAA,CGWC
1362428.0111,1239874.1139,14299012,00026235,B,Battery Site,VERMILION DOE 08-18-081-14 002,Active,0,100100276,2016/09/09 14:59:10+00,,,VERMILION ENERGY INC.,OGAA,ORTHO
1299097.0569,1240989.5219,14299013,00026241,WF,Well Facility,ADU MONIAS 13-35-081-21 004,Active,0,100100486,2016/10/19 14:00:28+00,,,Aduro Resources Ltd.,OGAA,SNK
1226612.0943,1322767.4365,14299014,00026240,WF,Well Facility,CNRL TOWN A-013-F/094-B-16  001,Active,0,100100617,2016/10/27 14:14:57+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1310277.7794,1247415.6209,14299015,00026259,WF,Well Facility,CREW WILDER 05-24-082-20 001,Active,0,100100957,2016/12/08 07:49:58+00,,,Crew Energy Inc.,OGAA,CGWC
1344903.5503,1326969.5254,14299016,00026313,WF,Well Facility,CNRL PEEJAY b-077-C/094-A-16 001,Inactive,0.2,100101769,2017/02/18 19:54:14+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1162601.4765,1639775.8461,14299017,00026236,LNG,LNG Facility,KTEC MAXHAMISH LAKE a-060-I/094-O-11 001,Permit Approved,0,100100325,2017/03/06 12:12:19+00,,,KT Energy Corporation,OGAA,GPSD
1344704.1737,1195465.0205,14299018,00026324,WF,Well Facility,TOURMALINE SUNDOWN 13-36-076-17 001,Active,0,100101920,2017/03/07 10:36:07+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1273957.2318,1357170.4675,14299019,00026394,WF,Well Facility,CNRL NIG CREEK A-058-E/094-H-03 001,Active,2,100102748,2017/06/05 13:10:11+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1239914.2055,1299731.4649,14299020,00026398,WF,Well Facility,CNRL TOWNSEND D-057-H/094-B-09 001,Active,0,100102779,2017/06/12 08:31:36+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1356944.0789,1234431.1339,14299021,00026534,WF,Well Facility,TOURMALINE DOE 03-34-080-15 001,Active,700,100101366,2017/10/05 11:27:05+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1243581.5517,1307074.3031,14299022,00026439,WF,Well Facility,TOURMALINE GUNDY CREEK a-032-I/094-B-09 001,Active,0,100102983,2017/09/21 14:40:55+00,,,Tourmaline Oil Corp.,OGAA,SNK
1368549.8291,1247886.8989,14299023,00026486,WF,Well Facility,VERMILION DOE 13-01-082-14 001,Permit Approved,1,100103170,2017/10/17 14:58:55+00,,,VERMILION ENERGY INC.,OGAA,CGWC
1368558.6057,1247882.1259,14299024,00026487,SB,Satellite Battery,VERMILION DOE 13-01-082-14 002,Permit Approved,1,100103170,2017/10/17 14:58:55+00,,,VERMILION ENERGY INC.,OGAA,CGWC
